S0 -> S5 {carA:true, carB:true, emergency:false, police:false} / {greenA:true, greenB:false};
S0 -> DEAD {carA:true, carB:true, emergency:false, police:false} / {greenA:true, greenB:true};
S0 -> S5 {carA:true, carB:true, emergency:false, police:false} / {greenA:false, greenB:false};
S0 -> S4 {carA:true, carB:true, emergency:false, police:false} / {greenA:false, greenB:true};
S1 -> DEAD {carA:true, carB:false, emergency:false, police:false} / {greenA:true, greenB:true};
S1 -> S2 {carA:true, carB:false, emergency:false, police:false} / {greenA:false, greenB:false};
S1 -> S2 {carA:true, carB:false, emergency:false, police:false} / {greenA:false, greenB:true};
S1 -> S2 {carA:true, carB:false, emergency:false, police:false} / {greenA:true, greenB:false};
S2 -> S0 {carA:true, carB:true, emergency:false, police:false} / {greenA:true, greenB:false};
S2 -> DEAD {carA:true, carB:true, emergency:false, police:false} / {greenA:true, greenB:true};
S2 -> S0 {carA:true, carB:true, emergency:false, police:false} / {greenA:false, greenB:false};
S2 -> S3 {carA:true, carB:true, emergency:false, police:false} / {greenA:false, greenB:true};
INI -> S4 {carA:false, carB:false, emergency:false, police:false} / {greenA:false, greenB:false};
S3 -> DEAD {carA:true, carB:false, emergency:false, police:false} / {greenA:true, greenB:true};
S3 -> S4 {carA:true, carB:false, emergency:false, police:false} / {greenA:false, greenB:false};
S3 -> S4 {carA:true, carB:false, emergency:false, police:false} / {greenA:false, greenB:true};
S3 -> S4 {carA:true, carB:false, emergency:false, police:false} / {greenA:true, greenB:false};
S4 -> DEAD {carA:true, carB:false, emergency:false, police:false} / {greenA:true, greenB:true};
S4 -> S1 {carA:true, carB:false, emergency:false, police:false} / {greenA:false, greenB:false};
S4 -> S1 {carA:true, carB:false, emergency:false, police:false} / {greenA:false, greenB:true};
S4 -> S1 {carA:true, carB:false, emergency:false, police:false} / {greenA:true, greenB:false};
S5 -> S2 {carA:true, carB:true, emergency:false, police:false} / {greenA:true, greenB:false};
S5 -> DEAD {carA:true, carB:true, emergency:false, police:false} / {greenA:true, greenB:true};
S5 -> S2 {carA:true, carB:true, emergency:false, police:false} / {greenA:false, greenB:false};
S5 -> S1 {carA:true, carB:true, emergency:false, police:false} / {greenA:false, greenB:true};
