,name,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,av_temporals_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result
0,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,11.41865348815918,Realizable
1,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,11.055014610290527,IncorrectGuarantees
2,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,10.7776460647583,Success
3,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,10.941970825195312,IncorrectGuarantees
4,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,11.051517486572266,IncorrectGuarantees
5,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,10.998645305633545,Realizable
6,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,10.934145450592041,IncorrectGuarantees
7,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,10.980001449584961,IncorrectGuarantees
8,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,11.001676321029663,IncorrectGuarantees
9,Minepump,2,2,1,2.0,1.0,1,1,3.0,1,1,11.93649411201477,Success
