,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,av_temporals_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result
0,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.582216739654541,IncorrectGuarantees
1,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.244336128234863,Success
2,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.878278970718384,IncorrectGuarantees
3,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,13.533266067504883,Realizable
4,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.661342859268188,Success
5,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,13.123748779296875,Realizable
6,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.805192947387695,Realizable
7,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.201698303222656,Success
8,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,13.81676721572876,Realizable
9,Minepump,True,0,2,2,1,2.0,1.0,1,1,3.0,1,1,13.264280796051025,Realizable
10,Minepump,False,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.369312286376953,Success
11,Minepump,False,0,2,2,1,2.0,1.0,1,1,3.0,1,1,12.1687490940094,Realizable
12,Minepump,False,1,2,2,1,2.0,1.0,1,1,3.0,1,1,12.580735206604004,Realizable
13,Minepump,False,1,2,2,1,2.0,1.0,1,1,3.0,1,1,12.27262806892395,Success
14,Minepump,False,1,2,2,1,2.0,1.0,1,1,3.0,1,1,12.676808595657349,Realizable
15,Minepump,False,1,2,2,1,2.0,1.0,1,1,3.0,1,1,13.035799026489258,IncorrectGuarantees
16,Minepump,False,1,2,2,1,2.0,1.0,1,1,3.0,1,1,12.845675706863403,Realizable
17,Minepump,False,1,2,2,1,2.0,1.0,1,1,3.0,1,1,15.068394899368286,Success
18,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.952584266662598,Success
19,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.19310164451599,Realizable
20,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.322691917419434,Success
21,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.08246421813965,Success
22,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.621801137924194,Realizable
23,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.086411952972412,Realizable
24,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.55525016784668,Realizable
25,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.424968004226685,Realizable
26,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.04227614402771,Success
27,Lift,True,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.08979558944702,Success
28,Lift,False,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.650561571121216,Realizable
29,Lift,False,1,12,7,1,3.0,1.0,1,0,7.0,1,0,27.50035810470581,Realizable
30,Lift,False,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.8581805229187,Realizable
31,Lift,False,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.471035480499268,Realizable
32,Lift,False,1,12,7,1,3.0,1.0,1,0,7.0,1,0,20.120287656784058,Realizable
33,Lift,False,1,12,7,1,3.0,1.0,1,0,7.0,1,0,19.62599015235901,Realizable
34,Traffic Single,True,1,3,2,1,3.0,2.0,1,1,3.0,1,1,16.257714986801147,Realizable
35,Traffic Single,True,1,3,2,1,3.0,2.0,1,1,3.0,1,1,22.574880599975586,Realizable
36,Traffic Single,True,1,3,2,1,3.0,2.0,1,1,3.0,1,1,22.09114933013916,Realizable
37,Traffic Single,True,1,3,2,1,3.0,2.0,1,0,2.0,1,0,5.933901309967041,Realizable
38,Traffic Single,True,1,3,2,1,3.0,2.0,1,0,2.0,1,0,7.09210729598999,Realizable
39,Traffic Single,True,1,3,2,1,3.0,2.0,1,0,2.0,1,0,5.852873802185059,Realizable
40,Traffic Single,True,1,3,2,1,3.0,2.0,1,0,2.0,1,0,6.904103994369507,Realizable
41,Traffic Single,True,1,3,2,1,3.0,2.0,1,1,3.0,1,1,20.38817071914673,Realizable
42,Traffic Single,True,1,3,2,1,3.0,2.0,1,1,3.0,1,1,17.08889675140381,Realizable
43,Traffic Single,True,1,3,2,1,3.0,2.0,1,1,3.0,1,1,18.243255615234375,Realizable
44,Traffic Single,False,1,3,2,1,3.0,2.0,1,1,3.0,1,1,17.59062147140503,Realizable
45,Traffic Single,False,1,3,2,1,3.0,2.0,1,1,3.0,1,1,19.035946369171143,Realizable
46,Traffic Single,False,1,3,2,1,3.0,2.0,1,0,2.0,1,0,7.288238763809204,Realizable
47,Traffic Single,False,1,3,2,1,3.0,2.0,1,0,2.0,1,0,7.265793561935425,Realizable
48,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,6.555398464202881,Realizable
49,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,5.555184364318848,Realizable
50,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,5.662617444992065,Realizable
51,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,6.343779802322388,Realizable
52,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,7.824830532073975,Realizable
53,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,6.543327808380127,Realizable
54,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,8.610947847366333,Realizable
55,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,10.324567556381226,Realizable
56,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,9.587345838546753,Realizable
57,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,8.164239883422852,Realizable
58,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,8.812336921691895,Realizable
59,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,8.77293062210083,Realizable
60,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,8.406829357147217,Realizable
61,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,9.225831031799316,Realizable
62,Traffic,True,1,5,4,2,3.0,2.0,1,0,9.0,2,0,8.073768615722656,Realizable
